feature,importance
w60_price_trend,0.056039225
w60_return_mean,0.046644837
w30_return_mean,0.044047967
w60_price_range,0.03830675
w900_ob_ask_depth_L1_mean,0.033725496
w30_price_range,0.03186605
w60_price_std,0.028703349
w30_price_momentum,0.02707167
w900_ob_microprice_mean,0.025618177
w30_price_trend,0.025303409
w900_price_std,0.024364384
w60_spread_std,0.024243876
w900_n_observations,0.023466531
w60_ob_ask_depth_L1_mean,0.023084046
w300_return_skew,0.022379098
w300_price_momentum,0.02231673
w900_tick_interval_std,0.021404041
w60_return_std,0.0206509
w60_ob_microprice_std,0.02026392
w300_trade_count,0.020118717
w900_price_momentum,0.019961601
w300_ob_ask_depth_L1_mean,0.019361524
w900_return_kurt,0.019309388
w60_spread_mean,0.017985841
w300_avg_trade_size,0.017728724
w900_trade_volume,0.01769909
hour_sin,0.017158791
w30_spread_std,0.016690467
w300_price_range,0.016689455
w60_trade_volume,0.016509013
w60_price_max,0.016323134
w900_tick_rate,0.016036812
w60_avg_trade_size,0.015632778
w900_price_range,0.01505977
w60_return_skew,0.013915278
w900_price_trend,0.0133327525
w300_price_std,0.01324673
w900_trade_count,0.0131911
w900_spread_std,0.012650558
w900_spread_mean,0.012188124
w900_ob_microprice_std,0.012111128
w300_ob_bid_depth_L1_mean,0.011003462
w900_volatility_lag1,0.01057005
w900_price_max,0.010385459
hour_cos,0.010264636
w300_price_mean,0.01015092
w300_spread_std,0.0092236735
w300_spread_mean,0.0074531278
w60_trade_imbalance,0.0061131953
w300_volatility_lag1,0.005234925
w300_return_std,0.004220533
w30_ob_microprice_std,0.0029788725
w300_ob_microprice_mean,0.0
w900_return_std,0.0
w60_volatility_lag1,0.0
w30_spread_mean,0.0
w900_ob_depth_imbalance_L1,0.0
w300_tick_interval_std,0.0
w300_trade_volume,0.0
w60_return_kurt,0.0
w900_avg_tick_interval,0.0
w300_n_observations,0.0
w30_volatility_lag1,0.0
w30_return_std,0.0
w300_ob_depth_imbalance_L1,0.0
w900_trade_imbalance,0.0
w30_return_skew,0.0
w30_price_std,0.0
w60_price_momentum,0.0
w60_tick_interval_std,0.0
