feature,importance
w60_return_mean,0.03611738
w300_tick_rate,0.02631606
w60_price_trend,0.026179625
w900_return_std,0.023282569
w300_trade_count,0.02321326
w30_price_std,0.023131354
w900_ob_depth_imbalance_L1,0.022657128
w30_return_mean,0.021591574
w30_price_momentum,0.02122622
w60_price_momentum,0.019870114
w900_price_std,0.019802457
hour_sin,0.019044304
w300_price_std,0.017320193
w300_ob_depth_imbalance_L1,0.017205063
w30_spread_std,0.016811596
w900_price_max,0.016807603
w60_ob_ask_depth_L1_mean,0.016804822
hour_cos,0.016734766
w300_spread_std,0.016721424
w900_price_range,0.01669962
w60_price_max,0.016525226
w30_price_range,0.016169878
w60_price_std,0.015866026
w60_spread_std,0.015736336
w900_volatility_lag1,0.015137574
w300_tick_interval_std,0.0150794
w30_price_trend,0.014978433
w30_trade_volume,0.014975133
w300_price_range,0.014973638
w300_ob_microprice_std,0.014869396
w900_n_observations,0.0142174065
w60_price_range,0.013964876
w300_return_kurt,0.013964255
w300_ob_ask_depth_L1_mean,0.013917767
w60_n_observations,0.013516276
w900_ob_ask_depth_L1_mean,0.013108936
w300_price_trend,0.013015089
w900_return_kurt,0.012741573
w60_avg_trade_size,0.012495726
w30_return_std,0.012417072
w60_trade_imbalance,0.011964224
w30_tick_rate,0.011962556
w900_ob_microprice_mean,0.011946854
w900_tick_rate,0.011892002
w300_price_momentum,0.011278441
w30_return_skew,0.011215663
w300_return_skew,0.011113906
w900_trade_count,0.011064914
w60_trade_volume,0.011011005
w900_trade_volume,0.010943478
w30_ob_bid_depth_L1_mean,0.01091333
w300_price_min,0.01077534
w30_volatility_lag1,0.010732307
w300_avg_tick_interval,0.010607089
w900_trade_imbalance,0.010035931
w300_volatility_lag1,0.009627157
w900_ob_microprice_std,0.009297536
w900_avg_tick_interval,0.009018264
w900_spread_std,0.008708842
w60_spread_mean,0.008703114
w300_return_std,0.0074673495
w300_avg_trade_size,0.0073875706
w900_spread_mean,0.007154572
w30_spread_mean,0.0069579813
w60_return_skew,0.006381341
w900_avg_trade_size,0.0062928447
w300_price_max,0.0060952995
w900_return_mean,0.0053963936
w300_spread_mean,0.0053758197
w300_trade_volume,0.0052885907
w900_price_momentum,0.0052688997
w60_ob_microprice_std,0.005248784
w900_return_skew,0.0038866925
w300_ob_microprice_mean,0.0023076206
w300_trade_imbalance,0.0014711504
w900_ob_bid_depth_L1_mean,0.0
w900_price_trend,0.0
w900_price_min,0.0
w900_price_mean,0.0
w900_tick_interval_std,0.0
w30_price_mean,0.0
w300_ob_bid_depth_L1_mean,0.0
w300_n_observations,0.0
w30_price_min,0.0
w30_price_max,0.0
w30_return_kurt,0.0
w30_trade_count,0.0
w30_avg_trade_size,0.0
w30_trade_imbalance,0.0
w30_avg_tick_interval,0.0
w30_tick_interval_std,0.0
w30_n_observations,0.0
w30_ob_ask_depth_L1_mean,0.0
w30_ob_depth_imbalance_L1,0.0
w30_ob_microprice_mean,0.0
w30_ob_microprice_std,0.0
w60_price_mean,0.0
w60_price_min,0.0
w60_return_std,0.0
w60_return_kurt,0.0
w60_volatility_lag1,0.0
w60_trade_count,0.0
w60_avg_tick_interval,0.0
w60_tick_interval_std,0.0
w60_tick_rate,0.0
w60_ob_bid_depth_L1_mean,0.0
w60_ob_depth_imbalance_L1,0.0
w60_ob_microprice_mean,0.0
w300_price_mean,0.0
w300_return_mean,0.0
day_of_week,0.0
