feature,importance
w60_return_mean,0.043480646
w60_price_trend,0.039491173
w30_price_std,0.034324884
w60_price_momentum,0.033050194
w900_ob_depth_imbalance_L1,0.032014433
w30_return_mean,0.03088137
w30_price_momentum,0.030147983
w900_return_std,0.030072374
w30_price_range,0.028739851
w60_spread_std,0.028535346
w30_price_trend,0.02773079
w300_tick_rate,0.027654944
hour_sin,0.02656601
w900_volatility_lag1,0.025586322
w900_price_std,0.025195038
w300_ob_depth_imbalance_L1,0.023711339
w30_spread_std,0.02361508
w300_price_std,0.023471994
w60_ob_ask_depth_L1_mean,0.023054352
w60_avg_trade_size,0.022430671
w60_price_range,0.022417007
w900_price_range,0.022406986
w300_tick_interval_std,0.02192147
w60_price_std,0.021616591
w300_spread_std,0.021541756
w900_ob_ask_depth_L1_mean,0.020819789
w300_price_trend,0.020800347
w300_price_range,0.020236647
w900_n_observations,0.01921238
w30_ob_bid_depth_L1_mean,0.018797612
w60_trade_imbalance,0.01832506
w300_ob_microprice_std,0.017900826
w30_return_std,0.017460221
w30_trade_volume,0.017391851
w300_return_kurt,0.016811155
w300_ob_ask_depth_L1_mean,0.016755188
w30_tick_rate,0.014401368
w900_ob_microprice_std,0.013278002
w900_tick_rate,0.012205542
w900_trade_volume,0.012099498
w900_avg_tick_interval,0.010856821
w300_avg_trade_size,0.00962038
w900_spread_std,0.008564066
w300_return_std,0.008330635
w300_trade_volume,0.007760214
w900_trade_count,0.0037128655
w300_ob_microprice_mean,0.0026137102
w300_price_max,0.0023872545
hour_cos,0.0
w300_trade_imbalance,0.0
w300_n_observations,0.0
w300_ob_bid_depth_L1_mean,0.0
w300_avg_tick_interval,0.0
w900_ob_microprice_mean,0.0
w900_trade_imbalance,0.0
w900_price_mean,0.0
w900_price_min,0.0
w900_price_max,0.0
w900_price_momentum,0.0
w900_price_trend,0.0
w900_return_mean,0.0
w900_ob_bid_depth_L1_mean,0.0
w900_return_skew,0.0
w300_trade_count,0.0
w900_avg_trade_size,0.0
w900_return_kurt,0.0
w900_spread_mean,0.0
w900_tick_interval_std,0.0
w30_price_mean,0.0
w300_spread_mean,0.0
w30_avg_tick_interval,0.0
w60_price_min,0.0
w60_price_mean,0.0
w30_ob_microprice_std,0.0
w30_ob_microprice_mean,0.0
w30_ob_depth_imbalance_L1,0.0
w30_ob_ask_depth_L1_mean,0.0
w30_n_observations,0.0
w30_tick_interval_std,0.0
w30_trade_imbalance,0.0
w300_volatility_lag1,0.0
w30_avg_trade_size,0.0
w30_trade_count,0.0
w30_spread_mean,0.0
w30_volatility_lag1,0.0
w30_return_kurt,0.0
w30_return_skew,0.0
w30_price_max,0.0
w30_price_min,0.0
w60_price_max,0.0
w60_return_std,0.0
w60_return_skew,0.0
w60_return_kurt,0.0
w300_return_skew,0.0
w300_return_mean,0.0
w300_price_momentum,0.0
w300_price_min,0.0
w300_price_mean,0.0
w60_ob_microprice_std,0.0
w60_ob_microprice_mean,0.0
w60_ob_depth_imbalance_L1,0.0
w60_ob_bid_depth_L1_mean,0.0
w60_n_observations,0.0
w60_tick_rate,0.0
w60_tick_interval_std,0.0
w60_avg_tick_interval,0.0
w60_trade_volume,0.0
w60_trade_count,0.0
w60_spread_mean,0.0
w60_volatility_lag1,0.0
day_of_week,0.0
