feature,importance
w60_return_mean,0.03872903
w60_price_trend,0.031040046
w30_price_std,0.027001398
w900_ob_depth_imbalance_L1,0.025630314
w30_price_momentum,0.02538884
w60_price_momentum,0.025062587
w900_return_std,0.024966136
w300_tick_rate,0.024632782
w60_spread_std,0.024479778
w30_return_mean,0.024172269
w900_price_std,0.021996824
hour_sin,0.021576049
w900_price_max,0.020451084
w300_price_std,0.01984925
w30_price_range,0.019836267
hour_cos,0.019800903
w300_ob_depth_imbalance_L1,0.019708386
w60_ob_ask_depth_L1_mean,0.019098455
w30_spread_std,0.01900796
w900_price_range,0.018485278
w300_spread_std,0.018340707
w60_price_std,0.01806278
w30_price_trend,0.017852874
w300_tick_interval_std,0.017475229
w900_ob_ask_depth_L1_mean,0.017467353
w300_price_range,0.01697833
w900_n_observations,0.016546106
w300_price_momentum,0.016349252
w300_ob_microprice_std,0.015944604
w300_price_trend,0.015654495
w30_trade_volume,0.01549125
w60_avg_trade_size,0.015458813
w300_return_kurt,0.014974014
w300_ob_ask_depth_L1_mean,0.014924163
w30_return_std,0.014681278
w900_volatility_lag1,0.014394885
w60_price_range,0.014342771
w300_return_skew,0.014339819
w900_ob_microprice_mean,0.013768992
w60_trade_imbalance,0.013756893
w30_ob_bid_depth_L1_mean,0.013541692
w60_trade_volume,0.0131882345
w30_tick_rate,0.012827571
w900_trade_imbalance,0.0123604005
w900_trade_volume,0.012339224
w30_volatility_lag1,0.012231023
w300_avg_tick_interval,0.012022056
w900_tick_rate,0.011772941
w300_price_min,0.011567443
w900_ob_microprice_std,0.010432168
w300_volatility_lag1,0.010208153
w900_trade_count,0.009990056
w900_avg_tick_interval,0.009670376
w900_spread_std,0.009247523
w300_avg_trade_size,0.008180537
w300_price_max,0.007780894
w300_return_std,0.007697199
w60_return_skew,0.007119251
w300_spread_mean,0.0060064257
w900_price_momentum,0.005963663
w300_trade_volume,0.0059476965
w300_ob_microprice_mean,0.0021872693
w300_n_observations,0.0
w300_ob_bid_depth_L1_mean,0.0
w900_avg_trade_size,0.0
w900_price_mean,0.0
w900_price_min,0.0
w900_ob_bid_depth_L1_mean,0.0
w900_price_trend,0.0
w900_return_mean,0.0
w900_tick_interval_std,0.0
w900_return_kurt,0.0
w900_spread_mean,0.0
w900_return_skew,0.0
w30_price_mean,0.0
w300_trade_imbalance,0.0
w300_trade_count,0.0
w30_ob_microprice_std,0.0
w30_ob_microprice_mean,0.0
w30_ob_depth_imbalance_L1,0.0
w30_ob_ask_depth_L1_mean,0.0
w30_n_observations,0.0
w30_tick_interval_std,0.0
w30_avg_tick_interval,0.0
w30_trade_imbalance,0.0
w30_avg_trade_size,0.0
w30_trade_count,0.0
w30_spread_mean,0.0
w30_return_kurt,0.0
w30_return_skew,0.0
w30_price_max,0.0
w30_price_min,0.0
w60_price_mean,0.0
w60_price_min,0.0
w60_price_max,0.0
w60_n_observations,0.0
w300_return_mean,0.0
w300_price_mean,0.0
w60_ob_microprice_std,0.0
w60_ob_microprice_mean,0.0
w60_ob_depth_imbalance_L1,0.0
w60_ob_bid_depth_L1_mean,0.0
w60_tick_rate,0.0
w60_return_std,0.0
w60_tick_interval_std,0.0
w60_avg_tick_interval,0.0
w60_trade_count,0.0
w60_spread_mean,0.0
w60_volatility_lag1,0.0
w60_return_kurt,0.0
day_of_week,0.0
