feature,importance
w300_price_trend,99
w300_return_skew,83
w300_ob_depth_imbalance_L1,80
w60_price_trend,79
w60_ob_depth_imbalance_L1,75
w60_price_range,73
w900_price_std,72
w60_price_std,71
w30_price_std,68
w30_price_trend,67
w300_price_range,67
w30_price_momentum,66
w60_return_skew,64
w300_trade_imbalance,63
w300_spread_std,61
w30_ob_microprice_std,59
w60_price_momentum,59
w300_price_std,59
w60_ob_microprice_std,58
w60_tick_interval_std,58
w900_trade_volume,55
w60_spread_std,55
w60_trade_count,54
w300_ob_microprice_std,54
w30_trade_imbalance,53
w60_avg_tick_interval,53
w30_price_min,50
w900_price_trend,50
w30_price_range,50
w30_spread_mean,47
w60_trade_volume,45
w60_return_std,42
w900_ob_depth_imbalance_L1,41
w30_return_skew,41
w300_spread_mean,41
w900_ob_ask_depth_L1_mean,40
w900_trade_imbalance,40
w300_ob_ask_depth_L1_mean,40
w300_tick_interval_std,40
w30_price_mean,40
w30_tick_interval_std,40
w900_price_momentum,39
w60_return_kurt,39
w900_return_kurt,39
w30_ob_ask_depth_L1_mean,38
w30_ob_depth_imbalance_L1,38
w900_return_skew,38
w30_ob_bid_depth_L1_mean,36
w30_return_kurt,36
w300_price_momentum,35
w300_return_kurt,33
w30_trade_count,33
w30_return_mean,33
w60_avg_trade_size,33
w60_trade_imbalance,32
w900_return_std,31
w60_volatility_lag1,31
w30_price_max,31
w300_trade_volume,30
w60_ob_microprice_mean,30
w60_ob_ask_depth_L1_mean,30
w900_spread_mean,30
w30_trade_volume,30
w30_spread_std,29
w60_ob_bid_depth_L1_mean,29
w30_return_std,29
w60_price_mean,29
w60_spread_mean,28
w300_return_mean,28
w900_ob_bid_depth_L1_mean,27
w300_ob_bid_depth_L1_mean,27
w60_tick_rate,26
w900_spread_std,26
w30_avg_tick_interval,25
w900_avg_trade_size,25
w300_return_std,24
w30_volatility_lag1,23
w900_price_range,23
w900_tick_interval_std,23
w60_return_mean,23
w900_trade_count,22
w900_price_mean,22
w300_ob_microprice_mean,21
w900_ob_microprice_std,21
w300_avg_trade_size,21
w30_tick_rate,20
w900_return_mean,20
w30_ob_microprice_mean,20
w300_volatility_lag1,19
w60_price_max,17
w300_avg_tick_interval,17
w60_price_min,17
w300_price_max,16
w900_volatility_lag1,13
w300_price_mean,11
w900_price_max,11
w300_price_min,11
w30_avg_trade_size,10
w900_tick_rate,10
w300_trade_count,9
w300_tick_rate,8
w900_avg_tick_interval,6
w900_ob_microprice_mean,6
w30_n_observations,6
w900_price_min,4
w300_n_observations,3
w900_n_observations,3
w60_n_observations,2
hour_sin,1
hour_cos,0
day_of_week,0
