feature,importance
w900_tick_interval_std,0.08810479
hour_sin,0.086162455
hour_cos,0.083720416
w300_ob_microprice_std,0.061659876
w300_trade_volume,0.0584388
w900_price_min,0.054252245
w60_price_trend,0.045725748
w900_spread_mean,0.043944273
w900_avg_tick_interval,0.042211983
w900_volatility_lag1,0.03482752
w900_spread_std,0.031419657
w900_return_skew,0.028670853
w900_ob_depth_imbalance_L1,0.02737237
w60_price_momentum,0.019896483
w900_price_trend,0.017400876
w900_return_std,0.015403438
w900_price_std,0.013467271
w900_trade_volume,0.012808161
w900_trade_imbalance,0.010810264
w300_price_mean,0.010274788
w30_tick_interval_std,0.009892961
w30_price_momentum,0.0093385875
w300_ob_depth_imbalance_L1,0.008924658
w900_ob_microprice_std,0.008543355
w60_tick_interval_std,0.008011699
w900_tick_rate,0.0078514265
w300_ob_ask_depth_L1_mean,0.00772201
w60_trade_volume,0.0076626157
w900_return_kurt,0.0070786504
w300_return_std,0.0069264425
w30_ob_depth_imbalance_L1,0.005975732
w30_spread_std,0.005475024
w300_ob_microprice_mean,0.0052151172
w60_ob_bid_depth_L1_mean,0.005139651
w60_ob_depth_imbalance_L1,0.00485719
w900_ob_ask_depth_L1_mean,0.0048076245
w300_tick_rate,0.0046667093
w300_return_skew,0.004530545
w900_ob_bid_depth_L1_mean,0.0042953603
w900_trade_count,0.00425354
w300_avg_trade_size,0.004052542
w300_price_min,0.003865847
w60_price_max,0.003845677
w60_price_min,0.003666055
w30_return_skew,0.003639402
w60_return_kurt,0.0035384672
w300_tick_interval_std,0.0034008091
w300_price_range,0.0032928663
w60_price_mean,0.0031715536
w300_return_mean,0.0031301177
w300_price_trend,0.0027336269
w60_spread_std,0.0025092233
w300_price_momentum,0.0023066457
w60_ob_microprice_mean,0.0022638831
w60_avg_trade_size,0.002228026
w900_price_momentum,0.0020069105
w300_spread_mean,0.0019847767
w30_trade_volume,0.0019147065
w300_price_std,0.0018276696
w60_price_std,0.001766099
w300_ob_bid_depth_L1_mean,0.0017296755
w30_ob_microprice_std,0.001537363
w30_price_mean,0.0014675311
w30_spread_mean,0.0012905869
w30_return_kurt,0.0011390976
w30_tick_rate,0.0011123559
w30_price_std,0.0010560245
w30_avg_trade_size,0.0010193619
w30_trade_imbalance,0.00096756517
w900_price_range,0.0008991071
w900_return_mean,0.0008218052
w60_avg_tick_interval,0.0008184269
w30_price_max,0.0008082557
w60_ob_microprice_std,0.00075198634
w60_trade_imbalance,0.00074225705
w30_ob_bid_depth_L1_mean,0.00064234843
w60_return_skew,0.0005717814
w30_trade_count,0.0005268769
w60_tick_rate,0.0005261197
w60_trade_count,0.0005212461
w30_return_mean,0.00048886373
w300_avg_tick_interval,0.00047448845
w60_price_range,0.00046791608
w300_spread_std,0.00040017877
w60_ob_ask_depth_L1_mean,0.0003603669
w30_return_std,0.00033930232
w30_avg_tick_interval,0.00032942626
w900_price_max,0.00030916664
w300_trade_imbalance,0.00029459785
w300_n_observations,0.00026403685
w300_return_kurt,0.00025288385
w30_volatility_lag1,0.00025030447
w300_trade_count,0.00022585069
w30_price_trend,0.00021739627
w60_return_std,0.00021223575
w30_price_min,0.0001980179
w60_volatility_lag1,0.00018980169
w60_spread_mean,0.00016375286
w900_ob_microprice_mean,0.00015475754
w900_n_observations,0.0001021622
w30_price_range,8.928846e-05
w300_volatility_lag1,8.417868e-05
w60_return_mean,6.965137e-05
w900_price_mean,6.444474e-05
w60_n_observations,5.0548406e-05
w30_ob_ask_depth_L1_mean,4.408521e-05
w900_avg_trade_size,2.922904e-05
w30_ob_microprice_mean,2.4013005e-05
w30_n_observations,1.3096759e-05
w300_price_max,0.0
day_of_week,0.0
