feature,importance
w60_price_trend,114
w30_price_momentum,72
w60_price_std,71
w900_price_trend,67
w60_avg_tick_interval,64
w900_price_momentum,63
w30_price_std,61
w300_price_momentum,60
w60_avg_trade_size,55
w60_ob_microprice_std,54
w60_ob_bid_depth_L1_mean,54
w30_return_mean,50
w60_ob_depth_imbalance_L1,50
w30_spread_std,50
w30_return_skew,49
w30_return_kurt,48
w60_trade_volume,48
w60_price_momentum,47
w30_ob_bid_depth_L1_mean,47
w60_tick_interval_std,45
w900_price_range,45
w60_trade_count,45
w60_return_kurt,45
w30_ob_microprice_std,44
w30_price_mean,44
w900_return_mean,42
w300_return_mean,41
w900_tick_interval_std,41
w60_spread_mean,41
w900_price_std,40
w60_ob_microprice_mean,38
w60_trade_imbalance,38
w60_tick_rate,37
w30_price_trend,37
w30_tick_interval_std,36
w30_ob_ask_depth_L1_mean,36
w900_ob_microprice_std,34
w30_return_std,31
w300_ob_depth_imbalance_L1,31
w900_trade_count,30
w300_spread_std,30
w900_trade_imbalance,30
w30_tick_rate,29
w300_return_skew,29
w60_price_range,28
w300_price_trend,27
w30_spread_mean,27
w30_trade_volume,27
w30_trade_imbalance,27
w900_return_skew,27
w30_trade_count,25
w30_price_range,25
w900_return_kurt,24
w60_return_mean,24
w900_spread_std,24
w60_return_skew,23
w900_volatility_lag1,21
w300_ob_microprice_mean,20
w900_ob_bid_depth_L1_mean,20
w300_tick_rate,20
w30_price_max,19
w300_spread_mean,19
w60_price_mean,19
w300_avg_trade_size,19
w300_ob_ask_depth_L1_mean,18
w30_avg_tick_interval,18
w300_price_std,17
w300_price_mean,17
w300_ob_bid_depth_L1_mean,16
w300_avg_tick_interval,16
w900_spread_mean,15
w30_ob_depth_imbalance_L1,15
w900_trade_volume,14
w300_tick_interval_std,14
w60_volatility_lag1,14
w300_ob_microprice_std,14
w60_spread_std,13
w30_volatility_lag1,13
w300_price_range,13
w300_return_std,10
w900_avg_tick_interval,10
w300_trade_volume,9
w30_avg_trade_size,8
w900_tick_rate,8
w300_trade_imbalance,8
w30_n_observations,8
w300_volatility_lag1,7
w900_price_mean,7
w30_price_min,7
w900_ob_ask_depth_L1_mean,6
w300_trade_count,6
w60_price_max,6
w60_price_min,6
w300_price_min,6
w900_ob_depth_imbalance_L1,6
w60_return_std,5
w300_return_kurt,5
w900_avg_trade_size,5
w900_ob_microprice_mean,4
w900_return_std,4
w900_price_max,4
w30_ob_microprice_mean,3
w900_n_observations,3
w60_ob_ask_depth_L1_mean,3
w900_price_min,3
hour_cos,3
w60_n_observations,2
w300_n_observations,2
w300_price_max,1
hour_sin,0
day_of_week,0
