feature,importance
w60_price_trend,0.048175555
w30_return_mean,0.038029063
w900_trade_volume,0.03595447
w60_price_std,0.031598054
w900_ob_ask_depth_L1_mean,0.031497363
w300_trade_count,0.028299749
w300_tick_rate,0.027375383
w60_price_range,0.026869603
hour_sin,0.025947267
w900_price_std,0.025457798
w60_spread_std,0.025365539
w30_price_range,0.024963481
w900_price_range,0.0233136
w900_spread_mean,0.023247644
w900_ob_microprice_mean,0.023078974
w900_price_mean,0.022171091
w300_n_observations,0.0218546
w900_ob_microprice_std,0.021724343
w300_return_skew,0.02131933
w300_price_max,0.020367138
w900_trade_imbalance,0.019994218
w60_return_mean,0.018260365
w30_price_max,0.016127963
w300_trade_imbalance,0.016021807
w300_spread_mean,0.015850104
w900_n_observations,0.015678685
w900_volatility_lag1,0.015528012
w300_return_std,0.015350775
w900_trade_count,0.015271335
w300_price_trend,0.015264407
w900_tick_rate,0.015190047
w60_price_momentum,0.014606296
w900_tick_interval_std,0.01455598
w60_avg_trade_size,0.014300505
w30_spread_std,0.014098439
w60_ob_depth_imbalance_L1,0.013488623
w900_return_std,0.013335341
w900_avg_tick_interval,0.012988137
w300_volatility_lag1,0.01201576
w30_price_trend,0.01177682
w300_spread_std,0.011468266
w900_return_kurt,0.011390258
w300_price_range,0.011387275
w300_price_mean,0.011230977
w900_price_min,0.011172396
w60_return_kurt,0.011112824
w900_spread_std,0.0104563385
w300_price_min,0.010333923
w60_ob_bid_depth_L1_mean,0.009908782
w60_trade_volume,0.008630616
w60_ob_microprice_std,0.008503756
w300_price_std,0.008194641
w900_return_skew,0.007668445
w60_trade_imbalance,0.007601804
w300_ob_ask_depth_L1_mean,0.0057241353
w300_ob_microprice_std,0.0031007528
w300_ob_depth_imbalance_L1,0.0029812094
w30_ob_depth_imbalance_L1,0.0028200126
w300_tick_interval_std,0.0
w900_price_trend,0.0
w300_ob_bid_depth_L1_mean,0.0
w300_ob_microprice_mean,0.0
w900_price_max,0.0
w900_price_momentum,0.0
w900_return_mean,0.0
w900_avg_trade_size,0.0
w900_ob_bid_depth_L1_mean,0.0
w900_ob_depth_imbalance_L1,0.0
hour_cos,0.0
w300_avg_tick_interval,0.0
w30_price_mean,0.0
w300_avg_trade_size,0.0
w300_trade_volume,0.0
w30_ob_ask_depth_L1_mean,0.0
w30_ob_bid_depth_L1_mean,0.0
w30_n_observations,0.0
w30_tick_rate,0.0
w30_tick_interval_std,0.0
w30_avg_tick_interval,0.0
w30_trade_imbalance,0.0
w30_avg_trade_size,0.0
w30_trade_volume,0.0
w30_trade_count,0.0
w30_spread_mean,0.0
w30_volatility_lag1,0.0
w30_return_kurt,0.0
w30_return_skew,0.0
w30_return_std,0.0
w30_price_momentum,0.0
w30_price_min,0.0
w30_ob_microprice_mean,0.0
w30_ob_microprice_std,0.0
w60_price_mean,0.0
w60_tick_rate,0.0
w300_return_kurt,0.0
w300_return_mean,0.0
w300_price_momentum,0.0
w30_price_std,0.0
w60_ob_microprice_mean,0.0
w60_ob_ask_depth_L1_mean,0.0
w60_n_observations,0.0
w60_tick_interval_std,0.0
w60_price_min,0.0
w60_avg_tick_interval,0.0
w60_trade_count,0.0
w60_spread_mean,0.0
w60_volatility_lag1,0.0
w60_return_skew,0.0
w60_return_std,0.0
w60_price_max,0.0
day_of_week,0.0
