feature,importance
w900_price_std,114
w60_price_trend,110
w60_price_std,109
w300_price_std,105
w300_return_skew,91
w60_return_kurt,90
w300_price_trend,84
w300_trade_imbalance,82
w60_trade_imbalance,79
w60_spread_mean,77
w60_spread_std,76
w900_price_range,75
w30_price_mean,74
w30_price_trend,74
w60_ob_microprice_std,71
w30_ob_microprice_std,69
w900_price_trend,69
w60_trade_volume,67
w60_ob_ask_depth_L1_mean,66
w300_ob_ask_depth_L1_mean,66
w60_ob_depth_imbalance_L1,65
w30_ob_depth_imbalance_L1,64
w300_trade_volume,64
w900_trade_imbalance,64
w60_return_skew,63
w30_ob_bid_depth_L1_mean,62
w900_return_kurt,60
w30_price_momentum,59
w30_trade_imbalance,59
w300_return_kurt,58
w300_ob_microprice_std,58
w900_return_skew,58
w900_ob_microprice_std,57
w60_price_range,57
w300_ob_bid_depth_L1_mean,55
w300_avg_trade_size,55
w30_price_std,53
w300_price_range,53
w60_ob_bid_depth_L1_mean,52
w900_ob_ask_depth_L1_mean,52
w900_spread_std,51
w300_spread_std,51
w60_avg_trade_size,51
w30_return_mean,49
w60_avg_tick_interval,49
w30_ob_ask_depth_L1_mean,48
w30_price_range,48
w300_ob_depth_imbalance_L1,47
w900_ob_depth_imbalance_L1,47
w60_tick_interval_std,45
w300_tick_interval_std,44
w900_avg_trade_size,44
w900_trade_count,44
w900_price_momentum,42
w30_return_kurt,41
w900_ob_bid_depth_L1_mean,41
w900_spread_mean,41
w60_volatility_lag1,40
w60_price_mean,38
w60_price_momentum,37
w900_tick_rate,36
w60_price_max,36
w300_spread_mean,36
w30_price_max,35
w300_return_mean,35
w900_tick_interval_std,34
w60_return_std,34
w300_tick_rate,34
w30_trade_count,33
w900_trade_volume,33
w30_tick_interval_std,32
w30_spread_mean,31
w300_price_momentum,31
w60_ob_microprice_mean,31
w30_trade_volume,31
w300_avg_tick_interval,30
w30_spread_std,30
w30_price_min,29
w300_return_std,29
w300_volatility_lag1,29
w30_avg_trade_size,27
w30_volatility_lag1,27
w300_price_mean,27
w30_return_std,26
w300_trade_count,26
w30_avg_tick_interval,26
w300_price_max,26
w60_return_mean,25
w30_ob_microprice_mean,24
w60_price_min,23
w30_return_skew,22
w300_ob_microprice_mean,21
w900_price_min,21
w900_return_std,21
w900_volatility_lag1,20
w60_trade_count,20
w900_return_mean,20
w900_avg_tick_interval,19
w300_price_min,17
w60_tick_rate,17
w900_price_mean,13
w900_ob_microprice_mean,13
w30_tick_rate,12
hour_sin,11
hour_cos,9
w900_price_max,5
w30_n_observations,5
w900_n_observations,5
w300_n_observations,5
w60_n_observations,3
day_of_week,0
