feature,importance
w30_return_kurt,95
w60_price_std,92
w300_price_trend,87
w900_price_trend,77
w30_price_trend,77
w60_trade_volume,74
w300_return_skew,72
w30_price_mean,71
w60_avg_trade_size,69
w300_return_kurt,69
w300_ob_microprice_std,66
w30_ob_microprice_std,65
w900_price_mean,64
w60_price_trend,64
w30_spread_mean,62
w300_price_mean,62
w60_price_mean,60
w30_return_skew,59
w60_price_range,59
w30_return_std,58
w60_return_kurt,57
w30_tick_interval_std,57
w60_return_skew,56
w30_spread_std,55
w300_volatility_lag1,55
w30_ob_depth_imbalance_L1,55
w900_ob_microprice_mean,52
w900_return_kurt,52
w60_tick_interval_std,51
w900_return_skew,51
w30_price_std,51
w60_spread_std,50
w30_avg_trade_size,49
w60_price_min,45
w900_price_std,45
w30_trade_imbalance,45
w30_ob_ask_depth_L1_mean,44
w30_ob_bid_depth_L1_mean,44
w60_trade_imbalance,43
w300_ob_microprice_mean,42
w900_spread_std,42
w300_ob_bid_depth_L1_mean,42
w900_trade_volume,41
w300_price_range,41
w60_ob_microprice_std,40
w900_ob_microprice_std,40
w300_price_momentum,40
w30_trade_volume,39
w900_trade_imbalance,37
w60_avg_tick_interval,37
w300_ob_depth_imbalance_L1,37
w900_price_momentum,36
w300_price_std,36
w60_ob_bid_depth_L1_mean,36
w30_price_momentum,36
w60_trade_count,36
w60_return_std,36
w60_price_max,35
w30_price_min,35
w30_trade_count,35
w300_trade_imbalance,35
hour_sin,35
w300_trade_count,35
w60_ob_depth_imbalance_L1,34
w300_avg_trade_size,33
w30_avg_tick_interval,33
w900_ob_ask_depth_L1_mean,33
w60_ob_ask_depth_L1_mean,32
w300_spread_std,31
w300_return_std,31
w300_ob_ask_depth_L1_mean,31
w30_return_mean,30
w300_trade_volume,28
w900_ob_bid_depth_L1_mean,28
w60_spread_mean,28
w60_tick_rate,27
w300_spread_mean,26
w30_volatility_lag1,25
w60_price_momentum,25
w900_volatility_lag1,23
w60_ob_microprice_mean,23
w900_return_std,22
w900_tick_interval_std,22
w30_price_range,22
w30_ob_microprice_mean,21
w900_tick_rate,21
w900_trade_count,21
w300_avg_tick_interval,21
w60_volatility_lag1,21
w30_price_max,19
w300_tick_interval_std,19
w300_return_mean,18
w300_tick_rate,17
w900_spread_mean,17
w60_return_mean,16
w900_ob_depth_imbalance_L1,15
w300_price_min,15
w900_avg_tick_interval,14
w900_price_range,11
w900_avg_trade_size,11
w30_tick_rate,11
w900_price_max,5
w300_price_max,5
w300_n_observations,5
w900_return_mean,5
w900_price_min,4
hour_cos,4
w30_n_observations,3
w900_n_observations,3
w60_n_observations,0
day_of_week,0
