feature,importance
w300_return_skew,124
w60_trade_imbalance,98
w900_price_std,93
w60_price_trend,91
w300_price_trend,89
w300_ob_depth_imbalance_L1,88
w300_price_std,86
w900_ob_depth_imbalance_L1,86
w900_spread_std,84
w900_price_trend,83
w60_spread_std,82
w300_spread_std,81
w300_trade_imbalance,77
w900_return_kurt,77
w900_return_skew,76
w60_price_range,76
w60_price_std,74
w60_trade_volume,74
w900_trade_imbalance,73
w30_price_mean,73
w900_trade_volume,71
w900_price_range,70
w900_ob_ask_depth_L1_mean,70
w300_tick_interval_std,69
w300_avg_tick_interval,69
w300_return_kurt,67
w300_spread_mean,67
w60_ob_depth_imbalance_L1,67
w30_ob_microprice_std,67
w60_avg_trade_size,66
w300_ob_microprice_std,65
w60_avg_tick_interval,65
w900_price_momentum,63
w60_ob_microprice_std,61
w30_price_std,61
w60_return_skew,61
w60_return_kurt,61
w300_price_range,60
w300_trade_volume,59
w30_price_trend,58
w60_ob_ask_depth_L1_mean,58
w30_price_momentum,56
w300_ob_bid_depth_L1_mean,55
w900_tick_interval_std,54
w30_return_mean,54
w30_spread_std,54
w60_price_momentum,53
w30_ob_depth_imbalance_L1,52
w900_avg_tick_interval,51
w30_return_kurt,50
w300_ob_ask_depth_L1_mean,50
w60_spread_mean,50
w900_ob_bid_depth_L1_mean,50
w300_avg_trade_size,49
w60_tick_interval_std,49
w900_trade_count,49
w30_ob_bid_depth_L1_mean,47
w900_avg_trade_size,46
w30_return_skew,44
w60_price_min,44
w60_trade_count,42
w30_tick_interval_std,42
w30_ob_ask_depth_L1_mean,42
w300_price_mean,42
w900_ob_microprice_std,41
w300_volatility_lag1,41
w300_price_momentum,38
w300_return_std,38
w30_return_std,38
w30_trade_imbalance,37
w30_price_max,36
w60_ob_bid_depth_L1_mean,35
w300_trade_count,35
w300_ob_microprice_mean,34
w300_price_max,32
w900_return_std,32
w60_price_max,32
w300_tick_rate,31
w900_return_mean,31
hour_sin,31
w900_ob_microprice_mean,31
w900_spread_mean,30
w60_return_std,30
w60_volatility_lag1,30
w900_tick_rate,29
w60_tick_rate,29
w30_trade_count,29
w30_price_range,29
w30_spread_mean,28
w300_return_mean,28
w30_avg_tick_interval,26
w30_trade_volume,26
w60_return_mean,25
w900_volatility_lag1,24
w30_price_min,24
w30_ob_microprice_mean,23
w60_price_mean,23
w30_avg_trade_size,22
w300_price_min,22
hour_cos,22
w30_tick_rate,21
w900_price_max,20
w900_price_mean,20
w30_volatility_lag1,16
w900_price_min,15
w60_ob_microprice_mean,13
day_of_week,7
w300_n_observations,4
w30_n_observations,4
w60_n_observations,4
w900_n_observations,2
