feature,coefficient,abs_importance
w900_spread_mean,-1.544347134809267,1.544347134809267
w300_spread_mean,1.4960371883026569,1.4960371883026569
w900_ob_ask_depth_L1_mean,1.4938014090146179,1.4938014090146179
w900_price_std,-1.2759233749555878,1.2759233749555878
w30_spread_mean,-1.2455817727970033,1.2455817727970033
w300_ob_ask_depth_L1_mean,-1.209656884870213,1.209656884870213
w60_price_std,1.0904528726444687,1.0904528726444687
w60_spread_mean,1.0399350040772466,1.0399350040772466
w300_avg_trade_size,1.0204306053530103,1.0204306053530103
w900_avg_trade_size,-0.9428180999580086,0.9428180999580086
w300_ob_bid_depth_L1_mean,-0.8960850567852378,0.8960850567852378
w60_avg_tick_interval,-0.8905072787264338,0.8905072787264338
w900_tick_interval_std,0.8780018227461212,0.8780018227461212
w900_avg_tick_interval,-0.8517894043286842,0.8517894043286842
w300_avg_tick_interval,0.8291870098732971,0.8291870098732971
w300_trade_volume,-0.7929298511033088,0.7929298511033088
w60_trade_volume,0.7491253869088514,0.7491253869088514
w30_spread_std,0.7069600224202806,0.7069600224202806
w300_price_range,-0.696093623875574,0.696093623875574
w900_price_range,0.6758178036553047,0.6758178036553047
w60_tick_interval_std,0.6404227135448767,0.6404227135448767
w30_return_std,0.6254369923374821,0.6254369923374821
w60_avg_trade_size,-0.5344162851805423,0.5344162851805423
w300_price_momentum,0.49966399291623104,0.49966399291623104
w900_ob_bid_depth_L1_mean,0.4961644203347053,0.4961644203347053
w900_spread_std,0.4629524781315671,0.4629524781315671
w900_trade_volume,0.46068639249489296,0.46068639249489296
w900_return_mean,0.433368996203262,0.433368996203262
w300_volatility_lag1,-0.42015614870285595,0.42015614870285595
w60_ob_ask_depth_L1_mean,0.40923725215114964,0.40923725215114964
w30_trade_volume,-0.40772819359350343,0.40772819359350343
w300_price_std,-0.3757834601312512,0.3757834601312512
w300_return_std,-0.3756740806941431,0.3756740806941431
w900_price_momentum,-0.37241827180082054,0.37241827180082054
