feature,importance
w60_return_mean,0.069229126
w60_price_trend,0.069087684
w30_return_mean,0.057571564
w300_return_skew,0.05486078
w900_ob_depth_imbalance_L1,0.052456364
w30_spread_std,0.049758703
w900_price_std,0.04972508
w30_price_momentum,0.04888381
w900_price_range,0.044500697
hour_sin,0.04279258
w30_price_trend,0.042170975
w60_spread_std,0.041854847
w300_tick_interval_std,0.041166913
w30_price_std,0.03535995
w300_price_std,0.03493852
w60_price_momentum,0.034289576
w60_price_std,0.033852212
w60_price_range,0.03322215
w60_ob_ask_depth_L1_mean,0.03118038
w300_spread_std,0.030217154
w300_ob_depth_imbalance_L1,0.029389659
w900_tick_rate,0.02548627
w300_ob_ask_depth_L1_mean,0.023347039
w900_avg_tick_interval,0.018303242
w60_trade_imbalance,0.002252844
w300_spread_mean,0.002192229
w60_spread_mean,0.0019095577
w300_ob_microprice_mean,0.0
w300_trade_volume,0.0
w900_volatility_lag1,0.0
w300_avg_trade_size,0.0
w60_return_kurt,0.0
w300_trade_count,0.0
w300_volatility_lag1,0.0
w60_return_skew,0.0
w30_ob_microprice_std,0.0
w900_ob_microprice_std,0.0
w900_spread_mean,0.0
w900_price_trend,0.0
w900_n_observations,0.0
w900_tick_interval_std,0.0
w60_price_max,0.0
w300_return_std,0.0
w30_spread_mean,0.0
w900_price_momentum,0.0
w900_return_std,0.0
w900_return_kurt,0.0
w900_trade_volume,0.0
w60_ob_microprice_std,0.0
w900_trade_count,0.0
w60_volatility_lag1,0.0
w900_price_max,0.0
w300_n_observations,0.0
w60_return_std,0.0
w30_volatility_lag1,0.0
w300_price_mean,0.0
w30_price_range,0.0
w60_avg_trade_size,0.0
w30_return_skew,0.0
hour_cos,0.0
w60_trade_volume,0.0
w900_trade_imbalance,0.0
w30_return_std,0.0
w900_ob_microprice_mean,0.0
w900_spread_std,0.0
w300_ob_bid_depth_L1_mean,0.0
w900_ob_ask_depth_L1_mean,0.0
w300_price_range,0.0
w300_price_momentum,0.0
w60_tick_interval_std,0.0
